PMID,Entity,Type
41724290,mice,Species
41724290,anxiety,Symptom
21933701,depression,Disease
21933701,meta-analysis,Evidence
21933701,fluoxetine,Pharmacology
21933701,paroxetine,Pharmacology
21933701,doxepin,Pharmacology
33629558,intragastric administration,Administration
33629558,hippocampus,Brain_region
33629558,depression,Disease
33629558,elisa,Evidence
33629558,western blot,Evidence
33629558,open field test,Experiment_indicator
33629558,sucrose preference,Experiment_indicator
33629558,ganmai dazao tang,Formula
33629558,serotonin,Neurotransmitter
33629558,5-ht,Neurotransmitter
33629558,norepinephrine,Neurotransmitter
33629558,ne,Neurotransmitter
33629558,fluoxetine,Pharmacology
33629558,rats,Species
38941409,depression,Disease
38941409,systematic review,Evidence
38941409,meta-analysis,Evidence
38941409,mendelian randomization,Evidence
38941409,amitriptyline,Pharmacology
18343064,depression,Disease
18343064,tail suspension test,Experiment_indicator
18343064,locomotor activity,Experiment_indicator
18343064,fluoxetine,Pharmacology
18343064,imipramine,Pharmacology
18343064,mice,Species
36844911,Angelicae sinensis radix,Herb
36844911,hippocampus,Brain_region
36844911,depression,Disease
36844911,xiaoyao san,Formula
36844911,danggui shaoyao san,Formula
36844911,bdnf,Gene
36844911,paeoniflorin,Ingredient
36844911,bdnf,Neurotransmitter
36844911,mice,Species
36844911,bdnf,Target
41485625,il-1β,Cytokine
41485625,tnf-α,Cytokine
41485625,il-6,Cytokine
41485625,il-18,Cytokine
41485625,il-10,Cytokine
41485625,depression,Disease
41485625,transcriptomics,Evidence
41485625,network pharmacology,Evidence
41485625,chaihu shugan san,Formula
41485625,tnf,Gene
41485625,albiflorin,Ingredient
41485625,liquiritin,Ingredient
41485625,chlorogenic acid,Ingredient
41485625,naringin,Ingredient
41485625,glycyrrhizic acid,Ingredient
41485625,saikosaponin d,Ingredient
41485625,corticosterone,Neurotransmitter
41485625,5-ht,Neurotransmitter
41485625,dopamine,Neurotransmitter
41485625,da,Neurotransmitter
41485625,adrenocorticotropic hormone,Neurotransmitter
41485625,acth,Neurotransmitter
41485625,jnk signaling pathway,Pathway
41485625,zebrafish,Species
41485625,mouse,Species
41485625,il-1β,Target
41485625,jnk,Target
41485625,il-6,Target
41485625,jun,Target
41485625,regulating qi,Tcm_therapy
41485625,relieving depression,Tcm_therapy
30841419,locus coeruleus,Brain_region
30841419,hippocampus,Brain_region
30841419,major depressive disorder,Disease
30841419,xiaoyao san,Formula
30841419,norepinephrine,Neurotransmitter
30841419,rats,Species
30841419,mice,Species
30841419,anhedonia,Symptom
30841419,psychomotor retardation,Symptom
40127829,depression,Disease
40127829,major depressive disorder,Disease
40127829,multi-omics,Evidence
40127829,transcriptomics,Evidence
40127829,proteomics,Evidence
40127829,molecular docking,Evidence
40127829,literature review,Evidence
40127829,open field test,Experiment_indicator
40127829,forced swim test,Experiment_indicator
40127829,chaihu shugan san,Formula
40127829,mtor,Gene
40127829,vegfa,Gene
40127829,ferulic acid,Ingredient
40127829,rats,Species
40127829,mtor,Target
40127829,vegfa,Target
30687098,prefrontal cortex,Brain_region
30687098,hippocampus,Brain_region
30687098,depression,Disease
30687098,sucrose preference,Experiment_indicator
30687098,tail suspension test,Experiment_indicator
30687098,forced swim test,Experiment_indicator
30687098,mtor,Gene
30687098,bdnf,Gene
30687098,bdnf,Neurotransmitter
30687098,mice,Species
30687098,mtor,Target
30687098,bdnf,Target
39957155,depression,Disease
39957155,qrt-pcr,Evidence
39957155,bioinformatics analysis,Evidence
39957155,sucrose preference,Experiment_indicator
39957155,tail suspension test,Experiment_indicator
39957155,danzhi xiaoyao san,Formula
39957155,erk1,Gene
39957155,mouse,Species
39957155,mice,Species
39957155,erk1/2,Target
36536902,major depressive disorder,Disease
36536902,depression,Disease
36536902,immunofluorescence,Evidence
36536902,sucrose preference,Experiment_indicator
36536902,forced swim test,Experiment_indicator
36536902,guipi tang,Formula
36536902,bdnf,Gene
36536902,trkb,Gene
36536902,creb,Gene
36536902,liquiritin,Ingredient
36536902,bdnf,Neurotransmitter
36536902,fluoxetine,Pharmacology
36536902,rats,Species
36536902,bax,Target
36536902,bdnf,Target
36536902,trkb,Target
36536902,creb,Target
33825416,major depressive disorder,Disease
33825416,network pharmacology,Evidence
33825416,chaihu shugan san,Formula
40179998,depression,Disease
40179998,transcriptomics,Evidence
40179998,xiaoyao san,Formula
40179998,drd2,Gene
40179998,dopamine,Neurotransmitter
40179998,mice,Species
40179998,mouse,Species
40179998,drd2,Target
36039087,hippocampus,Brain_region
36039087,major depressive disorder,Disease
36039087,network pharmacology,Evidence
36039087,immunofluorescence,Evidence
36039087,chaihu shugan san,Formula
36039087,vegfa,Gene
36039087,bdnf,Gene
36039087,bdnf,Neurotransmitter
36039087,mice,Species
36039087,sirt1,Target
36039087,foxo1,Target
36039087,vegfa,Target
36039087,bdnf,Target
41802506,hippocampus,Brain_region
41802506,il-6,Cytokine
41802506,depression,Disease
41802506,elisa,Evidence
41802506,sucrose preference,Experiment_indicator
41802506,open field test,Experiment_indicator
41802506,tail suspension test,Experiment_indicator
41802506,chaihu shugan san,Formula
41802506,bdnf,Gene
41802506,bdnf,Neurotransmitter
41802506,fluoxetine,Pharmacology
41802506,mice,Species
41802506,irritability,Symptom
41802506,liver qi stagnation,Syndrome
41802506,il-6,Target
41802506,bdnf,Target
35111057,weight gain,Adverse_event
35111057,hippocampus,Brain_region
35111057,depression,Disease
35111057,proteomics,Evidence
35111057,bioinformatics analysis,Evidence
35111057,sucrose preference,Experiment_indicator
35111057,food intake,Experiment_indicator
35111057,gaba,Neurotransmitter
35111057,glutamate,Neurotransmitter
35111057,serotonin,Neurotransmitter
35111057,norepinephrine,Neurotransmitter
35111057,dopamine,Neurotransmitter
35111057,acetylcholine,Neurotransmitter
35111057,rat,Species
24015243,anxiety,Adverse_event
24015243,anxiety,Disease
24015243,depression,Disease
24015243,open field test,Experiment_indicator
24015243,chinese herbal formula,Intervention
24015243,rats,Species
24015243,anxiety,Symptom
36545317,decoction,Administration
36545317,depression,Disease
36545317,network pharmacology,Evidence
36545317,tail suspension test,Experiment_indicator
36545317,open field test,Experiment_indicator
36545317,mice,Species
20673169,granule,Administration
20673169,hippocampus,Brain_region
20673169,depression,Disease
20673169,fluoxetine,Pharmacology
20673169,mice,Species
20673169,bax,Target
37924576,hippocampus,Brain_region
37924576,il-1β,Cytokine
37924576,depression,Disease
37924576,metabolomics,Evidence
37924576,metagenomics,Evidence
37924576,elisa,Evidence
37924576,western blot,Evidence
37924576,yueju wan,Formula
37924576,nlrp3,Gene
37924576,glutamate,Neurotransmitter
37924576,rat,Species
37924576,rats,Species
37924576,il-1β,Target
37924576,nlrp3,Target
36279723,anxiety,Adverse_event
36279723,prefrontal cortex,Brain_region
36279723,hippocampus,Brain_region
36279723,anxiety,Disease
36279723,depression,Disease
36279723,xiaoyao san,Formula
36279723,drd2,Gene
36279723,dopamine,Neurotransmitter
36279723,mice,Species
36279723,anxiety,Symptom
36279723,drd2,Target
37751044,hippocampus,Brain_region
37751044,perimenopausal depression,Disease
37751044,network pharmacology,Evidence
37751044,elisa,Evidence
37751044,fmri,Evidence
37751044,chaihu shugan san,Formula
37751044,chinese herbal formula,Intervention
37751044,glutamate,Neurotransmitter
37751044,5-ht,Neurotransmitter
37751044,rat,Species
37751044,rats,Species
35190952,anxiety,Adverse_event
35190952,perimenopausal depression,Disease
35190952,depression,Disease
35190952,anxiety,Disease
35190952,5-ht,Neurotransmitter
35190952,ne,Neurotransmitter
35190952,rat,Species
35190952,rats,Species
35190952,anxiety,Symptom
38633609,pill,Administration
38633609,decoction,Administration
38633609,powder,Administration
38633609,depression,Disease
38633609,systematic review,Evidence
38633609,network meta-analysis,Evidence
38633609,bayesian network meta-analysis,Evidence
38633609,xingnao jieyu decoction,Formula
38633609,da,Neurotransmitter
38633609,alprazolam,Pharmacology
38633609,fluoxetine,Pharmacology
38633609,escitalopram,Pharmacology
38633609,amitriptyline,Pharmacology
38633609,sertraline,Pharmacology
38633609,venlafaxine,Pharmacology
38633609,hamd,Scale
24914308,hippocampus,Brain_region
24914308,depression,Disease
24914308,western blot,Evidence
24914308,locomotor activity,Experiment_indicator
24914308,open field test,Experiment_indicator
24914308,erk1,Gene
24914308,fluoxetine,Pharmacology
24914308,rats,Species
24914308,erk1/2,Target
24486208,weight gain,Adverse_event
24486208,hippocampus,Brain_region
24486208,depression,Disease
24486208,locomotor activity,Experiment_indicator
24486208,open field test,Experiment_indicator
24486208,fluoxetine,Pharmacology
24486208,rats,Species
40969945,depression,Disease
40969945,xiaoyao san,Formula
40969945,chaihu shugan san,Formula
40969945,sini san,Formula
40969945,paeoniflorin,Ingredient
31781287,depression,Disease
31781287,western blot,Evidence
31781287,qrt-pcr,Evidence
31781287,bioinformatics analysis,Evidence
31781287,glycyrrhetinic acid,Ingredient
31781287,mouse,Species
31781287,mice,Species
31781287,qi stagnation,Syndrome
31781287,spleen deficiency,Syndrome
37664720,depression,Disease
37664720,systematic review,Evidence
40912487,depression,Disease
40912487,network pharmacology,Evidence
40912487,molecular docking,Evidence
40912487,xiaoyao san,Formula
40912487,stigmasterol,Ingredient
40912487,hif-1 signaling pathway,Pathway
40912487,blood deficiency,Syndrome
40912487,nourishing blood,Tcm_therapy
35906133,hypothalamus,Brain_region
35906133,depression,Disease
35906133,immunofluorescence,Evidence
35906133,social interaction test,Experiment_indicator
35906133,open field test,Experiment_indicator
35906133,forced swim test,Experiment_indicator
