source,source_type,target,target_type,relation
H1174,Herb,Cyanidin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Coumestrol,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Kojic Acid,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Putrescine,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Squalene,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,"5-Hydroxy-3-(4-Hydroxyphenyl)-7-[3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One",Ingredient,CONTAINS_INGREDIENT
H0664,Herb,Cytochalasin B,Ingredient,CONTAINS_INGREDIENT
H0664,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0664,Herb,Cynarin,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Andrographolide,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Wogonin,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Trans-Phytol,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Squalene,Ingredient,CONTAINS_INGREDIENT
H0889,Herb,Ergosterol Peroxide,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Adenine,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Putrescine,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Histamine,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Hispidulin,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Choline,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Agmatine,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Stearic Acid,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Aucubin,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Catalpol,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Forsythiaside,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Sucrose,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Raffinose,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Oleanolic_Acid,Ingredient,CONTAINS_INGREDIENT
H0713,Herb,Acetoside,Ingredient,CONTAINS_INGREDIENT
H0996,Herb,Auraptene,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Chrysin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Sesamin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Hyperoside,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Isorhamnetin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H0580,Herb,Limonene,Ingredient,CONTAINS_INGREDIENT
H1006,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H1006,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H1006,Herb,Triolein,Ingredient,CONTAINS_INGREDIENT
H1006,Herb,Caryophellene,Ingredient,CONTAINS_INGREDIENT
H1006,Herb,"(1R,9S)-4,11,11-Trimethyl-8-Methylenebicyclo[7.2.0]Undec-4-Ene,Caryophellene,?-Caryophyllene",Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Honokiol,Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Endosulfan,Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Magnolol,Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Beta-Eudesmol,Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Anonaine,Ingredient,CONTAINS_INGREDIENT
H1196,Herb,Obovatol,Ingredient,CONTAINS_INGREDIENT
