source,source_type,relation,target,target_type
38375048,Paper,MENTIONS,xiaoyao san,Formula
38375048,Paper,MENTIONS,tnf,Pathway
38375048,Paper,MENTIONS,hif-1 signaling pathway,Pathway
38375048,Paper,MENTIONS,calcium signaling pathway,Pathway
38375048,Paper,MENTIONS,rat,Species
38375048,Paper,MENTIONS,rats,Species
38375048,Paper,MENTIONS,il-1β,Target
38375048,Paper,MENTIONS,il-6,Target
38628641,Paper,MENTIONS,depression,Disease
41273446,Paper,MENTIONS,depression,Disease
41273446,Paper,MENTIONS,sucrose preference,Experiment_indicator
41273446,Paper,MENTIONS,tail suspension test,Experiment_indicator
41273446,Paper,MENTIONS,open field test,Experiment_indicator
41273446,Paper,MENTIONS,xiaoyao san,Formula
41273446,Paper,MENTIONS,nlrp3 inflammasome,Pathway
41273446,Paper,MENTIONS,mice,Species
41273446,Paper,MENTIONS,anhedonia,Symptom
41273446,Paper,MENTIONS,nlrp3,Target
41273446,Paper,MENTIONS,il-1β,Target
40541752,Paper,MENTIONS,post-stroke depression,Disease
40541752,Paper,MENTIONS,depression,Disease
40541752,Paper,MENTIONS,protocol,Evidence
40541752,Paper,MENTIONS,network pharmacology,Evidence
40541752,Paper,MENTIONS,metabolomics,Evidence
40541752,Paper,MENTIONS,sucrose preference,Experiment_indicator
40541752,Paper,MENTIONS,open field test,Experiment_indicator
40541752,Paper,MENTIONS,forced swim test,Experiment_indicator
40541752,Paper,MENTIONS,danzhi xiaoyao san,Formula
40541752,Paper,MENTIONS,rats,Species
40541752,Paper,MENTIONS,rat,Species
41225027,Paper,MENTIONS,depression,Disease
41225027,Paper,MENTIONS,network pharmacology,Evidence
41225027,Paper,MENTIONS,xiaoyao san,Formula
41225027,Paper,MENTIONS,atractylenolide i,Ingredient
41225027,Paper,MENTIONS,ferulic acid,Ingredient
41225027,Paper,MENTIONS,kaempferol,Ingredient
41225027,Paper,MENTIONS,quercetin,Ingredient
41225027,Paper,MENTIONS,atractylenolide ii,Ingredient
41225027,Paper,MENTIONS,z-ligustilide,Ingredient
41225027,Paper,MENTIONS,paeoniflorin,Ingredient
41225027,Paper,MENTIONS,saikosaponin a,Ingredient
41225027,Paper,MENTIONS,atractylenolide iii,Ingredient
41225027,Paper,MENTIONS,glycyrrhizic acid,Ingredient
41225027,Paper,MENTIONS,mouse,Species
41225027,Paper,MENTIONS,microglial cell,Species
41225027,Paper,MENTIONS,mice,Species
41225027,Paper,MENTIONS,jnk,Target
37808199,Paper,MENTIONS,depression,Disease
37808199,Paper,MENTIONS,anxiety,Disease
37808199,Paper,MENTIONS,meta-analysis,Evidence
37808199,Paper,MENTIONS,network pharmacology,Evidence
37808199,Paper,MENTIONS,molecular docking,Evidence
37808199,Paper,MENTIONS,stigmasterol,Ingredient
37808199,Paper,MENTIONS,tnf,Pathway
37808199,Paper,MENTIONS,pi3k-akt,Pathway
37808199,Paper,MENTIONS,jak-stat,Pathway
37808199,Paper,MENTIONS,anxiety,Symptom
37808199,Paper,MENTIONS,insomnia,Symptom
37808199,Paper,MENTIONS,il-6,Target
37808199,Paper,MENTIONS,akt1,Target
40998134,Paper,MENTIONS,depression,Disease
40998134,Paper,MENTIONS,network pharmacology,Evidence
40998134,Paper,MENTIONS,metabolomics,Evidence
40998134,Paper,MENTIONS,xiaoyao san,Formula
40998134,Paper,MENTIONS,mouse,Species
40998134,Paper,MENTIONS,mice,Species
29808808,Paper,MENTIONS,depression,Disease
29808808,Paper,MENTIONS,anxiety,Disease
29808808,Paper,MENTIONS,xiaoyao san,Formula
29808808,Paper,MENTIONS,ferulic acid,Ingredient
29808808,Paper,MENTIONS,ligustilide,Ingredient
29808808,Paper,MENTIONS,atractylenolide i,Ingredient
29808808,Paper,MENTIONS,atractylenolide ii,Ingredient
29808808,Paper,MENTIONS,paeoniflorin,Ingredient
29808808,Paper,MENTIONS,albiflorin,Ingredient
