Candidate_Term,Frequency
rat serum using liquid,1
post-stroke depression in mice,1
Meta-analysis of Different Acupuncture,1
GSK3β overexpression virus,1
GSK3β overexpressing virus,1
rat model for PSD,1
patient survival,1
post-stroke depression through the JAK,1
systematic review provides a deep,1
anxiety in rodent models,1
anxiety in animal models,1
Mice behavioral changes detected,1
IL-1β than GPT,1
SP6 and GV,1
Xiaochaihu Decoction and guides the,1
metabolomics analyzed gut microbiota,1
Patient Health Questionnaire,1
clinical trial of depression- and,1
Meta-Analysis guidelines were followed,1
meta-analysis is to evaluate,1
mice with CUMS induced,1
mice subjected to chronic,1
meta-analysis was conducted to,1
clinical trial comparing needle-based AC,1
literature review for the anti-inflammatory,1
mice with depression,1
systematic review and meta-analysis examined,1
systematic review was conducted,1
PC6 and SP,1
Jiuwei Zhenxin Granules in Treating Depression,1
sadness and loss of,1
mouse BCRD model was,1
JNK phosphorylation,1
rat model by assessing,1
postpartum depression via AGE,1
Multi-omics analysis identified the,1
rat model was constructed,1
multi-omics methodologies,1
IL-1β being XYS-specific and,1
systematic review of clinical studies,1
anxiety score in the,1
major depressive disorder using baseline clinical,1
anxiety domain lasted until,1
Xiaochaihu Decoction are explored for,1
Xiaochaihu Decoction is a classical,1
meta-analysis was performed by,1
Mice were treated with,1
mice and enhance the,1
quercetin can stably bind,1
narrative review summarizes the molecular,1
rat brain were also,1
arachidonic acid metabolism by synergetic reducing,1
arachidonic acid metabolism was selected as,1
metabolomics were jointly analyzed,1
systematic review and meta-analysis were,1
metabolomics to dissect the,1
meta-analysis demonstrates that paeoniflorin,1
BDNF protein expression compared,1
berberine plus ginsenoside Rb,1
rat diabetes model,1
Berberine and Ginsenoside Rb,1
mouse models of CUMS,1
mice were assessed using,1
mice were randomized into,1
mouse model of spontaneous,1
anxiety disorders,1
systematic review on the efficacy,1
meta-analysis for efficacy,1
Metabolomics and Targeted Quantitative,1
HPA Axis Hyperfunction and Ameliorating,1
BDNF levels in the,1
mice and compared those,1
anxiety disorders are highly,1
rat feces were applied,1
metabolomics combined with targeted,1
mice through modulation of,1
multi-omics were used to,1
mice treated with NCS,1
mouse chronic stress models,1
mice bearing H,1
mice and suppressed the,1
fos positive neurons in,1
mice and lowered the,1
basic research is required,1
Systematic review of ethnomedicine,1
mouse models and to,1
HPA axis elevates cortisol and,1
liquiritin has not been,1
liquiritin can exert their,1
mice by modulating neuroinflammation,1
TLR4 silencing enhanced cellular,1
TLR4 overexpression attenuated SSA,1
BDNF axis and mitigating,1
TLR4 as a therapeutic,1
mice and rats,1
mouse forced swim test,1
Sinisan formula,1
liquiritin in treating MDD,1
Sinisan formula for the,1
Systematic Review and Meta-Analysis of,1
BDNF signaling upregulation by,1
mTOR signaling,1
Mice were co-administered PF,1
mouse model in vivo,1
NLRP3 inflammasome activation via the,1
liquiritin are the main,1
BDNF impairs neuroplasticity and,1
sadness or a sense,1
BDNF and p-mTOR protein,1
mice in each group,1
mice were randomly divided,1
blood stasis and blood deficiency,1
anxiety or depression with,1
GSK3β pathway,1
mice dampened the beneficial,1
mice to confirm the,1
mice underwent behavioral studies,1
depressive disorder in vivo,1
mouse model to explore,1
HPA axis function,1
anxiety during this pandemic,1
post-stroke depression and pathological insights,1
