Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0504,Limonene,CAS:138-86-3,CID:440917,CHEMBL449062,C10H16,CC1=CCC(CC1)C(=C)C,H0095
C0542,(S)-N-Trans-Feruloyloctopamine,CAS:640235-67-2,CID:10042201,CHEMBL465182,C18H19NO5,COc1cc(/C=C/C(=NC[C@H](c2ccc(cc2)O)O)O)ccc1O,H0095
C0749,Stigmasterol,CAS:83-48-7,CID:5281330,CHEMBL400247,C29H48O,CC[C@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,H0095
C0635,Uridylic Acid,CAS:58-97-9,CID:101543,CHEMBL460741,C9H13N2O9P,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)([O-])[O-])O)n1ccc(=O)[nH]c1=O,H0095
C0716,?-Ionone,CAS:79-77-6,CID:638014,CHEMBL559945,C13H20O,CC(=O)/C=C/C1=C(C)CCCC1(C)C,H0095
C0608,Safranal,CAS:116-26-7,CID:61041,CHEMBL3183495,C10H14O,O=CC1=C(C)C=CCC1(C)C,H0095
C0561,Taurine,CAS:107-35-7,CID:1123,CHEMBL239243,C2H7NO3S,[NH3+]CCS(=O)(=O)[O-],H0095
C0738,Zeaxanthin,CAS:144-68-3,CID:5280899,CHEMBL2359248,C40H56O2,O[C@@H]1CC(=C(C(C1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C)C[C@H](CC1(C)C)O)\C)\C)/C)/C)C,H0095
C0107,Glycinebetaine,None,CID:247,CHEMBL1182,C5H11NO2,C[N+](C)(C)CC(=O)[O-],H0095
C0743,?-Cryptoxanthin,CAS:472-70-8,CID:5281235,None,C40H56O,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,H0095
C1177,Beta Carotene,None,CID:5280489,CHEMBL1293,C40H56,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,H0095
C0285,Palmitic Acid,CAS:57-10-3,CID:985,CHEMBL82293,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,H0238
C0188,Linalool,CAS:78-70-6,CID:6549,CHEMBL25306,C10H18O,CC(=CCCC(C)(C=C)O)C,H0238
C0231,Myristic Acid,CAS:544-63-8,CID:11005,CHEMBL111077,C14H28O2,CCCCCCCCCCCCCC(=O)O,H0238
C0190,Linolenic Acid,CAS:463-40-1,CID:5280934,CHEMBL8739,C18H30O2,CCC=CCC=CCC=CCCCCCCCC(=O)O,H0238
C1162,Benzaldehyde,None,CID:240,CHEMBL15972,C7H6O,O=Cc1ccccc1,H0238
C0102,Geraniol,CAS:106-24-1,CID:637566,CHEMBL25719,C10H18O,CC(=CCCC(=CCO)C)C,H0238
C0259,Octanol,CAS:111-87-5,CID:957,CHEMBL26215,C8H18O,CCCCCCCCO,H0238
C0189,Linoleic Acid,CAS:60-33-3,CID:5280450,CHEMBL267476,C18H32O2,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,H0238
C0283,Paeonol,CAS:552-41-0,CID:11092,CHEMBL1079227,C9H10O3,CC(=O)C1=C(C=C(C=C1)OC)O,H0238
C0504,Limonene,CAS:138-86-3,CID:440917,CHEMBL449062,C10H16,CC1=CCC(CC1)C(=C)C,H0238
C0126,Honokiol,CAS:35354-74-6,CID:72303,CHEMBL16901,C18H18O2,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,H1197
C0203,Magnolol,CAS:528-43-8,CID:72300,CHEMBL180920,C18H18O2,C=CCc1ccc(c(c1)c1cc(CC=C)ccc1O)O,H1197
C0863,Adenine,CAS:73-24-5,CID:190,CHEMBL226345,C5H5N5,C1=NC2=NC=NC(=C2N1)N,H0715
