symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Vagina,SMHB00016,0.032117,0.060278,1
Hyperpyrexia,SMHB00016,9.00E-05,0.000866,1
Jaundice,SMHB00016,6.00E-05,0.000628,1
Seizures,SMHB00016,3.80E-05,0.000426,0.943863
 Skin Scaly,SMHB00016,None,None,None
Tongue Discoloration,SMHB00016,None,None,None
Arthritic Pains,SMHB00016,None,None,None
Skin Breakdown,SMHB00016,0.010818,0.036554,1
Athetosis,SMHB00016,None,None,None
Scalp Pruritus,SMHB00016,0.010818,0.036554,1
Nasopharyngitis,SMHB00016,None,None,None
Habit Disorder,SMHB00016,0.000665,0.00437,1
Abnormal Labor,SMHB00016,None,None,None
Vocal Tic,SMHB00016,0.000665,0.00437,1
Motor Tics,SMHB00016,0.000665,0.00437,1
Smarting,SMHB00016,None,None,None
King Evil,SMHB00016,0.042601,0.07148,1
Cholecystitis,SMHB00016,0.010818,0.036554,1
Cholelithiasis,SMHB00016,0.010818,0.036554,1
 Generalized Convulsions Occurring With High Fever,SMHB00016,0.010818,0.036554,1
Herpes Zoster Disease,SMHB00016,0.010818,0.036554,1
Nephritis,SMHB00016,0.000112,0.001042,1
Vaginitis,SMHB00016,0.010818,0.036554,1
 Physical Suffering,SMHB00020,None,None,None
Cough Productive,SMHB00020,None,None,None
Dyspnea,SMHB00020,0.01552,0.043506,1
Hyperalgia,SMHB00020,None,None,None
Colic,SMHB00020,0.023195,0.051423,1
Pain,SMHB00020,None,None,None
Respiratory Abnormality,SMHB00020,None,None,None
Cough,SMHB00020,None,None,None
Burning Pain,SMHB00020,None,None,None
 Splitting Pain,SMHB00020,None,None,None
Gasping,SMHB00020,0.023195,0.051423,1
Abdominal Cramp,SMHB00020,0.01552,0.043506,1
Bronchial Asthma,SMHB00020,None,None,None
Infantile Colic,SMHB00020,0.007789,0.030277,1
 Migratory Pain,SMHB00020,None,None,None
Ache,SMHB00020,None,None,None
Gastrointestinal Pain,SMHB00020,None,None,None
 Stomach Discomfort,SMHB00020,3.00E-06,5.40E-05,0.082791
Pain Radiating,SMHB00020,None,None,None
Crushing Pain,SMHB00020,None,None,None
Asthma Attack,SMHB00020,0.007789,0.030277,1
Cough Persistent,SMHB00020,0.000844,0.00531,1
Respiratory Distress,SMHB00020,0.01552,0.043506,1
Pertussis,SMHB00020,0.007789,0.030277,1
Panic State,SMHB00024,None,None,None
Blanching Of Skin,SMHB00024,0.008222,0.031456,1
 Zoophaginae,SMHB00024,None,None,None
Hematuria,SMHB00024,None,None,None
 Anemic,SMHB00024,0.016379,0.044013,1
Virus,SMHB00024,None,None,None
Animal Virus,SMHB00024,None,None,None
Lethargy,SMHB00024,None,None,None
Anemia,SMHB00024,0.008222,0.031456,1
Thirst,SMHB00024,None,None,None
Carbuncle,SMHB00024,None,None,None
Blood Urine Present,SMHB00024,None,None,None
Musculoskeletal Pain,SMHB00024,None,None,None
Hemorrhage Postpartum,SMHB00024,None,None,None
Swelling,SMHB00024,None,None,None
Chills And Fever,SMHB00024,None,None,None
Chills And Fever,SMHB00024,None,None,None
Urine Rbc,SMHB00024,None,None,None
Fever,SMHB00024,None,None,None
Fever Symptoms,SMHB00024,0.032504,0.06074,1
"Nasal Obstruction, Unilateral",SMHB00027,None,None,None
Sharp Headache,SMHB00027,None,None,None
"Nasal Obstruction, Bilateral",SMHB00027,None,None,None
Erythrosis,SMHB00027,0.025963,0.053664,1
 Physical Suffering,SMHB00027,None,None,None
Vaginal Discharge White,SMHB00027,None,None,None
Catarrh,SMHB00027,None,None,None
"Headache, Periorbital",SMHB00027,None,None,None
Bilateral Headache,SMHB00027,None,None,None
Ocular Headache,SMHB00027,None,None,None
Toothache,SMHB00027,None,None,None
 Airway Obstruction Nasal,SMHB00027,None,None,None
Headache Throbbing,SMHB00027,None,None,None
Smarting Of Skin,SMHB00027,0.025963,0.053664,1
Hyperalgia,SMHB00027,None,None,None
Radiculopathy,SMHB00027,0.025963,0.053664,1
Orofacial Pains,SMHB00027,None,None,None
Rhinorrhea,SMHB00027,None,None,None
Skin Pain,SMHB00027,0.025963,0.053664,1
Nasal Congestion,SMHB00027,None,None,None
Orthostatic Headache,SMHB00027,None,None,None
Nerve Root Disorder,SMHB00027,0.025963,0.053664,1
Pain,SMHB00027,None,None,None
Burning Pain,SMHB00027,None,None,None
 Splitting Pain,SMHB00027,None,None,None
"Neuralgia, Sluder",SMHB00027,0.025963,0.053664,1
" Facial Pain, Neuralgic",SMHB00027,None,None,None
Cervical Radiculopathy,SMHB00027,0.025963,0.053664,1
Trigeminal Autonomic Cephalgia,SMHB00027,0.025963,0.053664,1
 Migratory Pain,SMHB00027,None,None,None
Nerve Root Pain,SMHB00027,0.025963,0.053664,1
Neuralgia Facial,SMHB00027,0.025963,0.053664,1
Skin Ulcer(S),SMHB00027,None,None,None
Swelling,SMHB00027,None,None,None
Coryza,SMHB00027,None,None,None
Ache,SMHB00027,None,None,None
 Generalised Headache,SMHB00027,None,None,None
Nose Pruritus,SMHB00027,0.025963,0.053664,1
"Avulsion, Nerve Root",SMHB00027,0.025963,0.053664,1
Lips Bleeding,SMHB00027,None,None,None
Pain Radiating,SMHB00027,None,None,None
Crushing Pain,SMHB00027,None,None,None
Vertex Headache,SMHB00027,None,None,None
"Headache, Retro-Ocular",SMHB00027,None,None,None
Common Cold,SMHB00027,None,None,None
Compression Nerve Root,SMHB00027,0.025963,0.053664,1
Face Pain,SMHB00027,None,None,None
Face Pain,SMHB00027,None,None,None
"Headache, Dull",SMHB00027,None,None,None
Craniofacial Pain,SMHB00027,None,None,None
Headache Unilateral,SMHB00027,None,None,None
Radiculitis,SMHB00027,0.025963,0.053664,1
Tenderness,SMHB00027,0.000663,0.00437,1
Acne Cystic,SMHB00027,None,None,None
Dysesthesia,SMHB00027,0.025963,0.053664,1
Myofacial Pain Syndrome,SMHB00027,0.025963,0.053664,1
Headache,SMHB00027,None,None,None
Myofacial Pain,SMHB00027,None,None,None
 Gustatory Rhinorrhea,SMHB00027,0.025963,0.053664,1
Abdomen Distention,SMHB00022,None,None,None
Cold Sweat,SMHB00022,0.026395,0.054197,1
Pulse Weakness,SMHB00022,0.013217,0.040393,1
Cough Productive,SMHB00022,None,None,None
"Sputums, Induced",SMHB00022,None,None,None
Developmental Delay,SMHB00022,0.026395,0.054197,1
Anasarca,SMHB00022,None,None,None
Liability To Disease,SMHB00022,0.026395,0.054197,1
Edema,SMHB00022,None,None,None
Diarrhea,SMHB00022,None,None,None
Labor Preterm,SMHB00022,None,None,None
Aplasia,SMHB00022,0.026395,0.054197,1
Tongue Disorder,SMHB00022,0.021899,0.049709,1
Pneumatosis,SMHB00022,0.026395,0.054197,1
Abortion,SMHB00022,0.026395,0.054197,1
Respiratory Abnormality,SMHB00022,None,None,None
Eating Disorder,SMHB00022,0.002022,0.01082,1
Malaise And Fatigue,SMHB00022,None,None,None
Cough,SMHB00022,None,None,None
 Stool Loose,SMHB00022,None,None,None
Lip Paresthesia,SMHB00022,0.026395,0.054197,1
Diarrhea Acute,SMHB00022,0.026395,0.054197,1
Premature Birth,SMHB00022,None,None,None
Sputum,SMHB00022,None,None,None
Anorexia,SMHB00022,0.006512,0.026736,1
Sweating,SMHB00022,None,None,None
Sweat,SMHB00022,None,None,None
Functional Bowel Disorder,SMHB00022,0.026395,0.054197,1
Diarrhea Watery,SMHB00022,0.026395,0.054197,1
 name Dilation,SMHB00022,None,None,None
Asthenia,SMHB00022,None,None,None
Loss Of Appetite,SMHB00022,0.026395,0.054197,1
Pregnancy Disorder,SMHB00022,None,None,None
Decreased Appetite,SMHB00022,None,None,None
Anal Sphincter Atony,SMHB00022,0.026395,0.054197,1
Heartbeats Increased,SMHB00022,0.026395,0.054197,1
Dyssomnia,SMHB00030,0.013802,0.040951,1
Insomnia,SMHB00030,None,None,None
Constipation,SMHB00030,None,None,None
 Overinclusion,SMHB00030,0.006923,0.027968,1
Angina Symptoms,SMHB00030,0.006923,0.027968,1
Night Sweat,SMHB00030,None,None,None
Subwakefullness Syndromes,SMHB00030,0.013802,0.040951,1
Palpitation(S),SMHB00030,None,None,None
Attention Disorders,SMHB00030,0.006923,0.027968,1
Boredom,SMHB00030,None,None,None
Tongue Discoloration,SMHB00030,None,None,None
 Long Sleeper Syndrome,SMHB00030,0.013802,0.040951,1
 Stool Loose,SMHB00030,None,None,None
 Sleep-Related Neurogenic Tachypnoea,SMHB00030,0.013802,0.040951,1
Short-Sleeper,SMHB00030,0.013802,0.040951,1
Sleep Disorder,SMHB00030,0.000268,0.002125,1
Defecation Pain,SMHB00030,None,None,None
Colonic Inertia,SMHB00030,None,None,None
Asthenia,SMHB00030,None,None,None
Tachypnea,SMHB00030,None,None,None
Poor Quality Sleep,SMHB00030,0.006923,0.027968,1
Acne,SMHB00030,None,None,None
Abdomen Distention,SMHB00009,None,None,None
Gastric Disorder,SMHB00009,0.049575,0.078983,1
Vomiting Neonatal,SMHB00009,0.025097,0.053152,1
Vaginal Discharge White,SMHB00009,0.011991,0.038774,1
Febrile Illness Acute,SMHB00009,None,None,None
Diarrhea,SMHB00009,None,None,None
Emesis,SMHB00009,0.000216,0.001792,1
"Diarrhea, Chronic",SMHB00009,0.001828,0.009974,1
 Stool Loose,SMHB00009,None,None,None
Diarrhea Acute,SMHB00009,0.025097,0.053152,1
Diarrhea Watery,SMHB00009,0.025097,0.053152,1
 name Dilation,SMHB00009,None,None,None
Aphagia,SMHB00009,0.025097,0.053152,1
Asthenia,SMHB00009,None,None,None
Loss Of Appetite,SMHB00009,0.025097,0.053152,1
Spleen Disorder,SMHB00009,0.049575,0.078983,1
Chest Symptom Heaviness,SMHB00009,None,None,None
Chest Symptom Heaviness,SMHB00009,None,None,None
Decreased Appetite,SMHB00009,None,None,None
Acute Vomiting,SMHB00009,0.025097,0.053152,1
Trichophytosis,SMHB00545,0.038457,0.067282,1
Scabies,SMHB00545,0.038457,0.067282,1
Tinea,SMHB00545,0.003286,0.015968,1
Behavior Disorder,SMHB00545,0.0258,0.053532,1
"Melena
",SMHB00545,0.000163,0.001407,1
Diarrhea,SMHB00545,0.04366,0.072788,1
Rectal Prolapse,SMHB00545,0.012981,0.039733,1
Tinea Corporis,SMHB00545,0.038457,0.067282,1
Otitis,SMHB00545,0.012981,0.039733,1
Sarcoptic Red Mange,SMHB00545,0.038457,0.067282,1
Skin Breakdown,SMHB00545,0.012981,0.039733,1
Mental Disorder,SMHB00545,0.0258,0.053532,1
Uterine Bleeding,SMHB00545,6.70E-05,0.000685,1
Hemorrhage Postpartum,SMHB00545,0.01163,0.038067,1
Anus,SMHB00545,0.0258,0.053532,1
Ear Drainage,SMHB00545,0.0258,0.053532,1
Epidermophytosis,SMHB00545,0.038457,0.067282,1
Hemorrhoid Bleeding,SMHB00545,0.038457,0.067282,1
Metrorrhagia,SMHB00545,0.000106,0.000989,1
Anal Canal Prolapse,SMHB00545,0.012981,0.039733,1
Diagnosis Psychiatric,SMHB00545,0.012981,0.039733,1
Menorrhagia,SMHB00545,0.003286,0.015968,1
Menometrorrhagia,SMHB00545,0.003286,0.015968,1
 Acute Suppurative Otitis Media In Diseases Classified Elsewhere,SMHB00545,0.0258,0.053532,1
Skin Decubitus Ulcer(S),SMHB00011,None,None,None
"Sputums, Induced",SMHB00011,None,None,None
Vaginal Discharge White,SMHB00011,None,None,None
Vagina,SMHB00011,0.029574,0.057571,1
Semiconsciousness,SMHB00011,None,None,None
Hyperalgia,SMHB00011,0.009952,0.034881,1
Nocturia,SMHB00011,0.009952,0.034881,1
Alteration In Level Of Consciousness,SMHB00011,None,None,None
Polyuria,SMHB00011,0.01981,0.04715,1
Vaginal Discharge,SMHB00011,None,None,None
Cough,SMHB00011,None,None,None
Bed-Wetting,SMHB00011,0.009952,0.034881,1
Depressed Level Of Consciousness,SMHB00011,None,None,None
Bronchial Asthma,SMHB00011,None,None,None
Consciousness Disorder,SMHB00011,None,None,None
Urination Frequency,SMHB00011,None,None,None
Sputum,SMHB00011,None,None,None
 Cough Increased,SMHB00011,0.009952,0.034881,1
Enuresis,SMHB00011,None,None,None
 Nocturia Aggravated,SMHB00011,0.009952,0.034881,1
Defecation Pain,SMHB00011,None,None,None
 Urinary Tract Pain,SMHB00011,None,None,None
Gonorrhea,SMHB00011,None,None,None
Sputum Purulent,SMHB00011,None,None,None
Bone Fracture,SMHB00012,0.003459,0.016608,1
Stroke,SMHB00012,None,None,None
Cough Productive,SMHB00012,None,None,None
Urologic Disease,SMHB00012,0.00173,0.00953,1
Tongue Disorder,SMHB00012,None,None,None
Respiratory Abnormality,SMHB00012,None,None,None
Malaise And Fatigue,SMHB00012,None,None,None
Cough,SMHB00012,None,None,None
 Stool Loose,SMHB00012,None,None,None
 Cva Nos Acute,SMHB00012,None,None,None
Thirst,SMHB00012,None,None,None
Asthenia,SMHB00012,None,None,None
Vaginal Bleeding,SMHB00012,None,None,None
Decreased Appetite,SMHB00012,None,None,None
Haemorrhage Ant Chamber Eye,SMHB00014,None,None,None
Hemorrhage,SMHB00014,None,None,None
Hemoptysis,SMHB00014,None,None,None
 Zoophaginae,SMHB00014,None,None,None
Hematemesis,SMHB00014,None,None,None
Eye Disorder,SMHB00014,None,None,None
Virus,SMHB00014,None,None,None
Animal Virus,SMHB00014,None,None,None
Contusion,SMHB00014,0.03417,0.062682,1
Bronchiectasis,SMHB00014,4.50E-05,0.000489,1
Chapped Skin,SMHB00014,None,None,None
Uterine Bleeding,SMHB00014,0.047529,0.077266,1
Skin Ulcer(S),SMHB00014,None,None,None
Swelling,SMHB00014,None,None,None
Lips Bleeding,SMHB00014,0.006923,0.027968,1
Vaginal Bleeding,SMHB00014,0.006923,0.027968,1
Gastric Ulcer Bleeding,SMHB00014,0.006923,0.027968,1
Multiple Sores On Skin,SMHB00014,0.047529,0.077266,1
Hemorrhage,SMHB00018,None,None,None
 Physical Suffering,SMHB00018,None,None,None
Catarrh,SMHB00018,None,None,None
Anasarca,SMHB00018,None,None,None
Hematemesis,SMHB00018,None,None,None
Edema,SMHB00018,None,None,None
Hyperalgia,SMHB00018,None,None,None
Jaundice,SMHB00018,None,None,None
Pain,SMHB00018,None,None,None
Blood Disorder,SMHB00018,None,None,None
Micturition Disorder,SMHB00018,None,None,None
Burning Pain,SMHB00018,None,None,None
 Splitting Pain,SMHB00018,None,None,None
Urethra Hemorrhage,SMHB00018,None,None,None
Thirst,SMHB00018,None,None,None
 Migratory Pain,SMHB00018,None,None,None
Coryza,SMHB00018,None,None,None
Ache,SMHB00018,None,None,None
Anus,SMHB00018,0.017237,0.045046,1
Polydipsia,SMHB00018,None,None,None
 Urinary Tract Pain,SMHB00018,None,None,None
Pain Radiating,SMHB00018,None,None,None
Crushing Pain,SMHB00018,None,None,None
Common Cold,SMHB00018,None,None,None
Abnormal Stools,SMHB00018,None,None,None
Alopecia,SMHB00019,None,None,None
Alopecia Cicatrisata,SMHB00019,None,None,None
Cough Productive,SMHB00019,None,None,None
"Sputums, Induced",SMHB00019,None,None,None
Anterior Cervical Pains,SMHB00019,None,None,None
Chest Pain,SMHB00019,None,None,None
"Cervical Pain, Posterior",SMHB00019,None,None,None
 Emotional Depression,SMHB00019,0.024473,0.052525,1
Cough,SMHB00019,None,None,None
Gasping,SMHB00019,None,None,None
Bronchial Asthma,SMHB00019,None,None,None
Sputum,SMHB00019,None,None,None
 Alopecia Hereditaria,SMHB00019,None,None,None
Chest Symptom Heaviness,SMHB00019,None,None,None
Chest Symptom Heaviness,SMHB00019,None,None,None
Neck Pain,SMHB00019,None,None,None
Cough Persistent,SMHB00019,0.000942,0.00579,1
Sputum Purulent,SMHB00019,None,None,None
Sharp Headache,SMHB00021,None,None,None
Cold Sweat,SMHB00021,0.041108,0.069718,1
Right Flank Pain,SMHB00021,None,None,None
Abdominal Tenderness,SMHB00021,0.041108,0.069718,1
Pulse Weakness,SMHB00021,0.030685,0.058607,1
 Physical Suffering,SMHB00021,None,None,None
Limb Anomaly Congenital,SMHB00021,0.041108,0.069718,1
Intermittant Vertigo,SMHB00021,None,None,None
Night Sweat,SMHB00021,None,None,None
"Headache, Periorbital",SMHB00021,None,None,None
Bilateral Headache,SMHB00021,None,None,None
Vertigo,SMHB00021,None,None,None
Polymenorrhea,SMHB00021,None,None,None
Pain Shoulder Neck,SMHB00021,None,None,None
Flank Pain,SMHB00021,None,None,None
Ocular Headache,SMHB00021,None,None,None
Vertigo Postural,SMHB00021,None,None,None
Renal Agenesis,SMHB00021,0.041108,0.069718,1
Tongue Edema,SMHB00021,0.041108,0.069718,1
Vertigo Central Origin,SMHB00021,None,None,None
Abdominal Pain,SMHB00021,None,None,None
Headache Throbbing,SMHB00021,None,None,None
Hyperalgia,SMHB00021,None,None,None
Radiculopathy,SMHB00021,0.041108,0.069718,1
Osteoarticular Pain,SMHB00021,None,None,None
Brain Stem Vertigo,SMHB00021,None,None,None
Labor Preterm,SMHB00021,0.041108,0.069718,1
Orthostatic Headache,SMHB00021,None,None,None
Tongue Disorder,SMHB00021,0.004721,0.021434,1
Nerve Root Disorder,SMHB00021,0.041108,0.069718,1
Pain,SMHB00021,None,None,None
Pneumatosis,SMHB00021,0.041108,0.069718,1
Abortion,SMHB00021,0.041108,0.069718,1
Menses Abnormal,SMHB00021,None,None,None
Anemia,SMHB00021,0.041108,0.069718,1
Tongue Discoloration,SMHB00021,0.049865,0.079263,1
Burning Pain,SMHB00021,None,None,None
Abnormal Menstrual Cycle,SMHB00021,0.041108,0.069718,1
 Splitting Pain,SMHB00021,None,None,None
Motion Sickness,SMHB00021,0.001673,0.009283,1
Lip Paresthesia,SMHB00021,0.041108,0.069718,1
Hair Dryness,SMHB00021,0.041108,0.069718,1
"Neuralgia, Sluder",SMHB00021,0.041108,0.069718,1
Cervical Radiculopathy,SMHB00021,0.041108,0.069718,1
 Essential Vertigo,SMHB00021,None,None,None
Trigeminal Autonomic Cephalgia,SMHB00021,0.041108,0.069718,1
Premature Birth,SMHB00021,0.041108,0.069718,1
Sweating,SMHB00021,None,None,None
Air Sickness,SMHB00021,0.001673,0.009283,1
 Migratory Pain,SMHB00021,None,None,None
Nerve Root Pain,SMHB00021,0.041108,0.069718,1
Sweat,SMHB00021,None,None,None
Oligomenorrhea,SMHB00021,0.009506,0.03422,1
Neuralgia Facial,SMHB00021,0.041108,0.069718,1
Functional Bowel Disorder,SMHB00021,0.041108,0.069718,1
Ache,SMHB00021,None,None,None
 Hypomenorrhea,SMHB00021,None,None,None
Vision Halo,SMHB00021,0.041108,0.069718,1
 Generalised Headache,SMHB00021,None,None,None
 Vertigo Paroxysmal,SMHB00021,None,None,None
Left Flank Pain,SMHB00021,None,None,None
"Avulsion, Nerve Root",SMHB00021,0.041108,0.069718,1
Sea Sickness,SMHB00021,0.001673,0.009283,1
Ocular Icterus,SMHB00021,0.041108,0.069718,1
Pain Radiating,SMHB00021,None,None,None
Crushing Pain,SMHB00021,None,None,None
Vertex Headache,SMHB00021,None,None,None
"Headache, Retro-Ocular",SMHB00021,None,None,None
Compression Nerve Root,SMHB00021,0.041108,0.069718,1
Retrograde Menstruation,SMHB00021,None,None,None
General Abdominal Pain-Symptom,SMHB00021,0.041108,0.069718,1
"Headache, Dull",SMHB00021,None,None,None
Headache Unilateral,SMHB00021,None,None,None
Radiculitis,SMHB00021,0.041108,0.069718,1
Constant Vertigo,SMHB00021,None,None,None
Myofacial Pain Syndrome,SMHB00021,0.041108,0.069718,1
Peripheral Vertigo,SMHB00021,None,None,None
Headache,SMHB00021,None,None,None
Vaginal Discharge White,SMHB00023,None,None,None
Genital Pruritus,SMHB00023,None,None,None
Vagina,SMHB00023,0.007772,0.030277,1
Tongue Discoloration,SMHB00023,0.023165,0.051423,1
 Stool Loose,SMHB00023,None,None,None
Dysentery,SMHB00023,None,None,None
Bloody Diarrhea,SMHB00023,0.005187,0.022802,1
Trichophytosis,SMHB00025,None,None,None
Tinea,SMHB00025,None,None,None
German Measles,SMHB00025,0.044655,0.074068,1
Jaundice,SMHB00025,None,None,None
Tinea Corporis,SMHB00025,None,None,None
Discoloration Urine,SMHB00025,2.20E-05,0.000275,0.548661
Discoloration Urine,SMHB00025,2.20E-05,0.000275,0.548661
Skin Breakdown,SMHB00025,0.009087,0.033209,1
Eczema,SMHB00025,None,None,None
Skin Ulcer(S),SMHB00025,None,None,None
Epidermophytosis,SMHB00025,None,None,None
Urine Abnormality,SMHB00025,None,None,None
Blotchy Rash,SMHB00025,0.009087,0.033209,1
Urine Rbc,SMHB00025,0.035878,0.064462,1
Pus Drainage,SMHB00025,0.018095,0.046235,1
Scabies,SMHB00025,0.035878,0.064462,1
Pharyngolaryngitis,SMHB00026,0.036025,0.064516,1
Larynx,SMHB00026,0.003115,0.015259,1
Laryngopharyngeal Dysaesthesia,SMHB00026,0.000108,0.001002,1
Abdominal Tenderness,SMHB00026,0.018174,0.046235,1
Localized; Swelling,SMHB00026,0.004619,0.021053,1
 Physical Suffering,SMHB00026,0.000189,0.001601,1
Laryngeal Pain,SMHB00026,0.018174,0.046235,1
Laryngeal Edema,SMHB00026,0.018174,0.046235,1
Smarting Of Skin,SMHB00026,0.018174,0.046235,1
Hematoma,SMHB00026,0.036025,0.064516,1
Skin Pain,SMHB00026,0.018174,0.046235,1
Pain,SMHB00026,0.00037,0.002762,1
Contusion,SMHB00026,None,None,None
Bronchiectasis,SMHB00026,0.000323,0.002474,1
Burning Pain,SMHB00026,0.000189,0.001601,1
 Splitting Pain,SMHB00026,0.000189,0.001601,1
Skin Swelling,SMHB00026,0.036025,0.064516,1
Thirst,SMHB00026,None,None,None
 Migratory Pain,SMHB00026,0.000189,0.001601,1
Musculoskeletal Pain,SMHB00026,0.036025,0.064516,1
Ache,SMHB00026,None,None,None
Pharynx Disease,SMHB00026,0.036025,0.064516,1
Tonsillitis,SMHB00026,0.036025,0.064516,1
Asthenia,SMHB00026,None,None,None
 Stomach Discomfort,SMHB00026,None,None,None
Throat Tightness,SMHB00026,3.00E-06,5.10E-05,0.078729
Lips Bleeding,SMHB00026,0.018174,0.046235,1
Pain Radiating,SMHB00026,0.000189,0.001601,1
Crushing Pain,SMHB00026,0.000189,0.001601,1
Vaginal Bleeding,SMHB00026,0.018174,0.046235,1
Pharyngolaryngeal Pain,SMHB00026,0.000186,0.001576,1
Edema Pharynx,SMHB00026,0.000957,0.005866,1
General Abdominal Pain-Symptom,SMHB00026,0.018174,0.046235,1
Gastric Ulcer Bleeding,SMHB00026,0.018174,0.046235,1
Abdomen Distention,SMHB00004,None,None,None
Right Flank Pain,SMHB00004,None,None,None
Abdominal Tenderness,SMHB00004,0.013414,0.040487,1
 Physical Suffering,SMHB00004,None,None,None
Gastric Disorder,SMHB00004,0.026654,0.054547,1
Vomiting Neonatal,SMHB00004,0.013414,0.040487,1
Mechanical Low Back Pain,SMHB00004,None,None,None
Flank Pain,SMHB00004,None,None,None
 Recurrent Low Back Pain,SMHB00004,None,None,None
Abdominal Pain,SMHB00004,None,None,None
Hyperalgia,SMHB00004,None,None,None
Numbness Localized,SMHB00004,None,None,None
Emesis,SMHB00004,None,None,None
Pain,SMHB00004,None,None,None
Burning Pain,SMHB00004,None,None,None
 Splitting Pain,SMHB00004,None,None,None
Abdomen Discomfort,SMHB00004,None,None,None
Enterocele,SMHB00004,None,None,None
Loin Pain,SMHB00004,None,None,None
Postural Low Back Pain,SMHB00004,None,None,None
 Migratory Pain,SMHB00004,None,None,None
Hernia,SMHB00004,None,None,None
Ache,SMHB00004,None,None,None
Left Flank Pain,SMHB00004,None,None,None
Gagging,SMHB00004,None,None,None
Pain Radiating,SMHB00004,None,None,None
Crushing Pain,SMHB00004,None,None,None
Posterior Compartment Low Back Pain,SMHB00004,None,None,None
General Abdominal Pain-Symptom,SMHB00004,0.013414,0.040487,1
Pharyngolaryngitis,SMHB00033,None,None,None
